run_accession	study_accession	secondary_study_accession	sample_accession	secondary_sample_accession	sample_alias	sample_title	experiment_accession	scientific_name	library_name	library_layout	library_strategy	library_source	library_selection	instrument_platform	instrument_model	fastq_ftp	fastq_md5	submitted_ftp	submitted_md5
ERR13336043	PRJEB73710	ERP158450	SAMEA115396718	ERS18417299	Rice GP622	GP622 ONT whole-genome sequencing	ERX12707009	Oryza sativa		SINGLE	WGS	GENOMIC	unspecified	OXFORD_NANOPORE	PromethION	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/043/ERR13336043/ERR13336043.fastq.gz	665092a23d098cafe593275b87bc3568	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336043/GP622.ont.fastq.gz	f03e36f4269cc002265629d5ca7706a5
ERR13336044	PRJEB73710	ERP158450	SAMEA115396719	ERS18417300	Rice GP635	GP635 ONT whole-genome sequencing	ERX12707010	Oryza sativa		SINGLE	WGS	GENOMIC	unspecified	OXFORD_NANOPORE	PromethION	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/044/ERR13336044/ERR13336044.fastq.gz	839fc26b21ec94d0ca8713d973eba1b7	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336044/GP635.ont.fastq.gz	f210ec99df1feed68150fdc92c77aa16
ERR13336047	PRJEB73710	ERP158450	SAMEA115396803	ERS18417384	Rice OM1952	OM1952 ONT whole-genome sequencing	ERX12707013	Oryza meridionalis		SINGLE	WGS	GENOMIC	unspecified	OXFORD_NANOPORE	PromethION	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/047/ERR13336047/ERR13336047.fastq.gz	65f19cee1c9b8b96e4b0c8f5429e1f28	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336047/OM1952.ont.fastq.gz	3847616cb47cdce8d7913f8edd212321
ERR13336052	PRJEB73710	ERP158450	SAMEA115396820	ERS18417401	Wild rice W2305	W2305 ONT whole-genome sequencing	ERX12707018	Oryza rufipogon		SINGLE	WGS	GENOMIC	unspecified	OXFORD_NANOPORE	PromethION	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/052/ERR13336052/ERR13336052.fastq.gz	5213385b1cb006161f719121dc33b79a	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336052/W2305.ont.fastq.gz	8dff378f7d58a3c67b1512fd80354736
ERR13336054	PRJEB73710	ERP158450	SAMEA115396837	ERS18417418	Wild rice W3038	W3038 ONT whole-genome sequencing	ERX12707020	Oryza rufipogon		SINGLE	WGS	GENOMIC	unspecified	OXFORD_NANOPORE	PromethION	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/054/ERR13336054/ERR13336054.fastq.gz	450404279b2a979f335aa42536624558	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336054/W3038.ont.fastq.gz	1c1729d39b46f0f9586f274858bcba0b
ERR13336059	PRJEB73710	ERP158450	SAMEA115396711	ERS18417292	Rice GP117	GP117 HiFi whole-genome sequencing	ERX12707025	Oryza sativa		SINGLE	WGS	GENOMIC	unspecified	PACBIO_SMRT	Sequel II			ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336059/GP117.hifi.fastq.gz	0c783caf50b07ff58c43a1e8c67807bf
ERR13336067	PRJEB73710	ERP158450	SAMEA115396856	ERS18417437	Rice OL3102	OL3102 HiFi whole-genome sequencing	ERX12707033	Oryza longistaminata		SINGLE	WGS	GENOMIC	unspecified	PACBIO_SMRT	Sequel II	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/067/ERR13336067/ERR13336067.fastq.gz	f9927fde876c02570d4815eba738a232	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336067/OL3102.hifi.fastq.gz	3545384d278fa337328cc24959cd6de9
ERR13336075	PRJEB73710	ERP158450	SAMEA115396731	ERS18417312	Wild rice W0143	W0143 HiFi whole-genome sequencing	ERX12707041	Oryza rufipogon		SINGLE	WGS	GENOMIC	unspecified	PACBIO_SMRT	Sequel II	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/075/ERR13336075/ERR13336075.fastq.gz	b05e7216dee211c3a7a9434bb4b14bf8	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336075/W0143.hifi.fastq.gz	86f17fa21e1aab141ae165d70d7f6b9f
ERR13336081	PRJEB73710	ERP158450	SAMEA115396737	ERS18417318	Wild rice W0166	W0166 HiFi whole-genome sequencing	ERX12707047	Oryza rufipogon		SINGLE	WGS	GENOMIC	unspecified	PACBIO_SMRT	Sequel II	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/081/ERR13336081/ERR13336081.fastq.gz	7588f265b4a8e2db49c7c7ebcf1c566f	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336081/W0166.hifi.fastq.gz	d69993d6546f0752c4957d612af27fdb
ERR13336087	PRJEB73710	ERP158450	SAMEA115396743	ERS18417324	Wild rice W0573	W0573 HiFi whole-genome sequencing	ERX12707053	Oryza rufipogon		SINGLE	WGS	GENOMIC	unspecified	PACBIO_SMRT	Sequel II	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/087/ERR13336087/ERR13336087.fastq.gz	97c6bd483bb0340e23b2c4491e87cb28	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336087/W0573.hifi.fastq.gz	b9c9577a39de0eb54d05c7bd8403bd63
