run_accession	fastq_ftp	fastq_bytes	fastq_md5	bam_ftp	bam_bytes	bam_md5	submitted_ftp	submitted_bytes	submitted_md5	sra_ftp	sra_bytes	sra_md5
ERR13336043	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/043/ERR13336043/ERR13336043.fastq.gz	48753966618	665092a23d098cafe593275b87bc3568	ftp.sra.ebi.ac.uk/vol1/err/ERR133/043/ERR13336043/ERR13336043.bam	47044332365	26fc64c713bd65308ea042e477e68b37	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336043/GP622.ont.fastq.gz	48646275559	f03e36f4269cc002265629d5ca7706a5			
ERR13336044	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/044/ERR13336044/ERR13336044.fastq.gz	43133429417	839fc26b21ec94d0ca8713d973eba1b7	ftp.sra.ebi.ac.uk/vol1/err/ERR133/044/ERR13336044/ERR13336044.bam	41629077162	eb794b9d0ba597cc5e0088ee2cb9e9dc	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336044/GP635.ont.fastq.gz	43039881335	f210ec99df1feed68150fdc92c77aa16			
ERR13336047	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/047/ERR13336047/ERR13336047.fastq.gz	32338329034	65f19cee1c9b8b96e4b0c8f5429e1f28	ftp.sra.ebi.ac.uk/vol1/err/ERR133/047/ERR13336047/ERR13336047.bam	31230432702	5578e7c19a51875ef2e9954d8625c99b	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336047/OM1952.ont.fastq.gz	32268939187	3847616cb47cdce8d7913f8edd212321			
ERR13336052	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/052/ERR13336052/ERR13336052.fastq.gz	29085420728	5213385b1cb006161f719121dc33b79a	ftp.sra.ebi.ac.uk/vol1/err/ERR133/052/ERR13336052/ERR13336052.bam	28056156289	2bbebeb7b18171d2044f1c9836f9d474	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336052/W2305.ont.fastq.gz	29025297058	8dff378f7d58a3c67b1512fd80354736			
ERR13336054	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/054/ERR13336054/ERR13336054.fastq.gz	48684485982	450404279b2a979f335aa42536624558	ftp.sra.ebi.ac.uk/vol1/err/ERR133/054/ERR13336054/ERR13336054.bam	46817734526	48dccfcdd7cf8af0b865ed1da0e2fc01	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336054/W3038.ont.fastq.gz	48550576306	1c1729d39b46f0f9586f274858bcba0b			
ERR13336059							ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336059/GP117.hifi.fastq.gz	11445677166	0c783caf50b07ff58c43a1e8c67807bf			
ERR13336067	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/067/ERR13336067/ERR13336067.fastq.gz	8545833920	f9927fde876c02570d4815eba738a232	ftp.sra.ebi.ac.uk/vol1/err/ERR133/067/ERR13336067/ERR13336067.bam	8351432103	1c9733702734fffc596125b8a676d65b	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336067/OL3102.hifi.fastq.gz	8521971852	3545384d278fa337328cc24959cd6de9			
ERR13336075	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/075/ERR13336075/ERR13336075.fastq.gz	8233172957	b05e7216dee211c3a7a9434bb4b14bf8	ftp.sra.ebi.ac.uk/vol1/err/ERR133/075/ERR13336075/ERR13336075.bam	8065829743	672666c91c154ff9bfa682dd62cd878b	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336075/W0143.hifi.fastq.gz	8210449979	86f17fa21e1aab141ae165d70d7f6b9f			
ERR13336081	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/081/ERR13336081/ERR13336081.fastq.gz	8650043003	7588f265b4a8e2db49c7c7ebcf1c566f	ftp.sra.ebi.ac.uk/vol1/err/ERR133/081/ERR13336081/ERR13336081.bam	8465585473	5e5c7b26bb2e4aea81d76a25da535c90	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336081/W0166.hifi.fastq.gz	8627158025	d69993d6546f0752c4957d612af27fdb			
ERR13336087	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/087/ERR13336087/ERR13336087.fastq.gz	7170883106	97c6bd483bb0340e23b2c4491e87cb28	ftp.sra.ebi.ac.uk/vol1/err/ERR133/087/ERR13336087/ERR13336087.bam	7040077265	ce8dd75e4f3224f16a443cdfbdd7f840	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336087/W0573.hifi.fastq.gz	7151515603	b9c9577a39de0eb54d05c7bd8403bd63			
ERR13336088	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/088/ERR13336088/ERR13336088.fastq.gz	7870397996	36184549a6cd0a8d227c2e547d5f3d22	ftp.sra.ebi.ac.uk/vol1/err/ERR133/088/ERR13336088/ERR13336088.bam	7696642033	8629cdcb72f7dfd899187899fb21676d	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336088/W0590.hifi.fastq.gz	7850848029	f098a41737e42b98491d601a3cfbbaa4			
ERR13336090	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/090/ERR13336090/ERR13336090.fastq.gz	8089082836	8c42eaefc7762f0624189ca16a15326a	ftp.sra.ebi.ac.uk/vol1/err/ERR133/090/ERR13336090/ERR13336090.bam	7916476900	5ebdf1861ee4078d21678722856e85df	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336090/W0596.hifi.fastq.gz	8067783310	77a352d944583dfcdbad0e7f6e61b3f7			
ERR13336095	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/095/ERR13336095/ERR13336095.fastq.gz	7248521900	a25041214e1e2f446671a998a4bbdae5	ftp.sra.ebi.ac.uk/vol1/err/ERR133/095/ERR13336095/ERR13336095.bam	7109829602	874a9a98a70a7e0730d6e93f168bf5dd	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336095/W0634.hifi.fastq.gz	7229570845	b0e4336a7c43432f6700d86f35c1a071			
ERR13336096	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/096/ERR13336096/ERR13336096.fastq.gz	7916172695	ab241cfeceaf3166a052aca4dd436cae	ftp.sra.ebi.ac.uk/vol1/err/ERR133/096/ERR13336096/ERR13336096.bam	7763941016	e2b1497f6e56775fe4479b1efdc59821	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336096/W0639.hifi.fastq.gz	7896634190	5520a077e20e5037e42e8107597a2a4d			
ERR13336097	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/097/ERR13336097/ERR13336097.fastq.gz	8447714968	361e79f0050c15da766dd59359cb38b3	ftp.sra.ebi.ac.uk/vol1/err/ERR133/097/ERR13336097/ERR13336097.bam	8298547553	4f1fcc96f8939d151adf59de5e948498	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336097/W1084.hifi.fastq.gz	8429079753	71eb3f86fb01d6e48356b643d1013807			
ERR13336104	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/004/ERR13336104/ERR13336104.fastq.gz	6525239358	ea7da1a2e3f9d23853f5ea209011d0bc	ftp.sra.ebi.ac.uk/vol1/err/ERR133/004/ERR13336104/ERR13336104.bam	6417345394	01a0af283343cbd764c278de10a0eadf	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336104/W1236.hifi.fastq.gz	6508441977	77fbe5bf4db2634701ffecef4b36e38e			
ERR13336105	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/005/ERR13336105/ERR13336105.fastq.gz	7452071771	d5cc4bf75a8a302b52ddb2f9d94903b6	ftp.sra.ebi.ac.uk/vol1/err/ERR133/005/ERR13336105/ERR13336105.bam	7321512624	490063ce72bb743696336cb4e1930063	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336105/W1292.hifi.fastq.gz	7432257892	66bcdcb64364f096a3cfc2755f25ca17			
ERR13336110	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/010/ERR13336110/ERR13336110.fastq.gz	7966674064	f1160bc42e47da6765e40634431ce27c	ftp.sra.ebi.ac.uk/vol1/err/ERR133/010/ERR13336110/ERR13336110.bam	7813607555	8c441480e43272e4877150c4bee7a2e7	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336110/W1553.hifi.fastq.gz	7945008625	11dfbfa4cdd3f1ddbce842951ce5b3b1			
ERR13336112	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/012/ERR13336112/ERR13336112.fastq.gz	8698281813	1d77aaa605577fc33b1ec78c6003b5bf	ftp.sra.ebi.ac.uk/vol1/err/ERR133/012/ERR13336112/ERR13336112.bam	8537197103	d6b22cc8591988f98447844923c60052	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336112/W1557.hifi.fastq.gz	8674973892	1a4b586f8da58a5e352c2432328134ba			
ERR13336117	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/017/ERR13336117/ERR13336117.fastq.gz	10609266177	5e2ebf13d0feeb92b4dfa6b6fcedff2b	ftp.sra.ebi.ac.uk/vol1/err/ERR133/017/ERR13336117/ERR13336117.bam	10389575219	55611e15c8792dc35a97bcd1538d9444	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336117/W1677.hifi.fastq.gz	10580843181	144f3bc6fc774d24fb06b2b9a9ac988f			
ERR13336118	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/018/ERR13336118/ERR13336118.fastq.gz	9010435935	b42393e46e9741418cbfb004e42d4cb5	ftp.sra.ebi.ac.uk/vol1/err/ERR133/018/ERR13336118/ERR13336118.bam	8867542998	85413ed7b51b1d34b1d3bfdfdd5b1eee	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336118/W1679.hifi.fastq.gz	8987313732	5d69abb9ceb5a9a390386a333c5a9f12			
ERR13336120	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/020/ERR13336120/ERR13336120.fastq.gz	7821527809	baf157ce426b8e3689038f8abd525658	ftp.sra.ebi.ac.uk/vol1/err/ERR133/020/ERR13336120/ERR13336120.bam	7653395108	a4c545875eff0061296a1fa02879ba53	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336120/W1719.hifi.fastq.gz	7800652615	345693ff7d09890dbbbedbb87d557794			
