id	accession	species_id	species_code	sub_population	country	region	longitude	latitude	description
484	W0103		ORYZA_RUFIPOGON	Or-Ib	India	South_Asia	85.90678554	20.44525735	Patna, Cuttack, Orissa, India
483	W0107		ORYZA_RUFIPOGON	Or-Ib	India	South_Asia	85.88579329	20.34816333	Pahala, Orissa, India
499	W0108		ORYZA_RUFIPOGON	Or-II	India	South_Asia	85.88298993	20.46250352	Cuttack, Orissa, India
572	W0133		ORYZA_RUFIPOGON	Or-IIIb	India	South_Asia	82.17678566	17.05381633	Bicavole, Samalkot, Andhra, India
573	W0135		ORYZA_RUFIPOGON	Or-IIIb	India	South_Asia	82.27678566	17.05381633	Kesavaram, Samalkot, Andhra, India
570	W0136		ORYZA_RUFIPOGON	Or-IIIb	India	South_Asia	81.81966446	16.90684184	Kadiam, Andhra, India
571	W0137		ORYZA_RUFIPOGON	Or-IIIb	India	South_Asia	81.91966446	16.90684184	Kadiam, Andhra, India
498	W0143		ORYZA_RUFIPOGON	Or-II	Srilanka	South_Asia	79.83405269	7.209578686	Negombo, Ceylon
588	W0145		ORYZA_RUFIPOGON	Or-unspecific	Thailand	Southeast_Asia	100.4938242	13.75216314	Bangkok,Thailand
480	W0147		ORYZA_RUFIPOGON	Or-Ib	India	South_Asia	85.98298993	20.46250352	Patna, Cuttack, Orissa, India
566	W0149		ORYZA_RUFIPOGON	Or-IIIb	India	South_Asia	78.65710858	22.97351437	Raipur, Madhya Pradesh, India
585	W0157		ORYZA_RUFIPOGON	Or-unspecific	India	South_Asia	92.93883464	26.20081819	Inside of Titabar Rice Expt. Stn., Assam, India
586	W0164		ORYZA_RUFIPOGON	Or-unspecific	Thailand	Southeast_Asia	98.6601502	18.79650844	Chiengmai, Thailand
503	W0166		ORYZA_RUFIPOGON	Or-II	Thailand	Southeast_Asia	98.7601502	18.79650844	Chiengmai, Thailand
509	W0169		ORYZA_RUFIPOGON	Or-II	Thailand	Southeast_Asia	100.5938242	13.75216314	Chumpae, Konkhen, Thailand
510	W0171		ORYZA_RUFIPOGON	Or-II	Thailand	Southeast_Asia	100.6938242	13.75216314	Chumpae, Konkhen, Thailand
472	W0179		ORYZA_RUFIPOGON	Or-Ia	Thailand	Southeast_Asia	100.7938242	13.75216314	Rajburi, Thailand
506	W0180		ORYZA_RUFIPOGON	Or-II	Thailand	Southeast_Asia	99.97010762	18.77664293	Ngao, Lamphang, Thailand
