annotation_code	accession	assembly_code	annotation_name	annotation_version	species_code	scientific_name	source_database	external_project	file_name	file_type	description
ANN_W0103_PRJEB73710	W0103	ASM_W0103_PRJEB73710	W0103 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W0103.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W0107_PRJEB73710	W0107	ASM_W0107_PRJEB73710	W0107 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W0107.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W0108_PRJEB73710	W0108	ASM_W0108_PRJEB73710	W0108 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W0108.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W0133_PRJEB73710	W0133	ASM_W0133_PRJEB73710	W0133 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W0133.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W0135_PRJEB73710	W0135	ASM_W0135_PRJEB73710	W0135 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W0135.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W0136_PRJEB73710	W0136	ASM_W0136_PRJEB73710	W0136 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W0136.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W0137_PRJEB73710	W0137	ASM_W0137_PRJEB73710	W0137 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W0137.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W0143_PRJEB73710	W0143	ASM_W0143_PRJEB73710	W0143 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W0143.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W0145_PRJEB73710	W0145	ASM_W0145_PRJEB73710	W0145 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W0145.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W0147_PRJEB73710	W0147	ASM_W0147_PRJEB73710	W0147 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W0147.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W0149_PRJEB73710	W0149	ASM_W0149_PRJEB73710	W0149 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W0149.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W0157_PRJEB73710	W0157	ASM_W0157_PRJEB73710	W0157 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W0157.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W0164_PRJEB73710	W0164	ASM_W0164_PRJEB73710	W0164 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W0164.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W0166_PRJEB73710	W0166	ASM_W0166_PRJEB73710	W0166 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W0166.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W0169_PRJEB73710	W0169	ASM_W0169_PRJEB73710	W0169 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W0169.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W0171_PRJEB73710	W0171	ASM_W0171_PRJEB73710	W0171 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W0171.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W0179_PRJEB73710	W0179	ASM_W0179_PRJEB73710	W0179 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W0179.gff	GFF	Genome annotation associated with rice pangenome assembly
