assembly_code	accession	assembly_accession	assembly_name	species_code	scientific_name	assembly_level	reference	source_database	external_project	file_name	file_type	description
ASM_W0103_PRJEB73710	W0103		W0103 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W0103.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W0107_PRJEB73710	W0107		W0107 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W0107.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W0108_PRJEB73710	W0108		W0108 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W0108.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W0133_PRJEB73710	W0133		W0133 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W0133.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W0135_PRJEB73710	W0135		W0135 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W0135.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W0136_PRJEB73710	W0136		W0136 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W0136.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W0137_PRJEB73710	W0137		W0137 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W0137.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W0143_PRJEB73710	W0143		W0143 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W0143.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W0145_PRJEB73710	W0145		W0145 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W0145.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W0147_PRJEB73710	W0147		W0147 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W0147.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W0149_PRJEB73710	W0149		W0149 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W0149.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W0157_PRJEB73710	W0157		W0157 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W0157.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W0164_PRJEB73710	W0164		W0164 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W0164.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W0166_PRJEB73710	W0166		W0166 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W0166.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W0169_PRJEB73710	W0169		W0169 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W0169.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W0171_PRJEB73710	W0171		W0171 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W0171.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W0179_PRJEB73710	W0179		W0179 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W0179.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W0180_PRJEB73710	W0180		W0180 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W0180.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W0234_PRJEB73710	W0234		W0234 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W0234.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W0573_PRJEB73710	W0573		W0573 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W0573.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W0590_PRJEB73710	W0590		W0590 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W0590.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W0594_PRJEB73710	W0594		W0594 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W0594.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W0596_PRJEB73710	W0596		W0596 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W0596.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W0600_PRJEB73710	W0600		W0600 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W0600.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W0627_PRJEB73710	W0627		W0627 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W0627.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W0630_PRJEB73710	W0630		W0630 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W0630.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W0632_PRJEB73710	W0632		W0632 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W0632.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W0634_PRJEB73710	W0634		W0634 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W0634.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W0639_PRJEB73710	W0639		W0639 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W0639.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W1080_PRJEB73710	W1080		W1080 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W1080.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
