accession	project_code	project_name	dataset_code	dataset_name	dataset_type	ncbi_bioproject	ncbi_sra	external_url	description	run_count	experiment_count	ena_study	biosample_count	run_accessions	experiment_accessions	external_database
Nipponbare	PRJEB73710	A pangenome reference of wild and cultivated rice	PRJEB73710_Nipponbare_RNASEQ	Nipponbare RNA-Seq	transcriptome	PRJEB73710		https://www.ebi.ac.uk/ena/browser/view/PRJEB73710	ENA study=ERP158450; library_strategy=RNA-Seq; runs=4; experiments=4; biosamples=1	4	4	ERP158450	1	ERR13336206;ERR13336328;ERR13336465;ERR13336614	ERX12707172;ERX12707294;ERX12707431;ERX12707580	ENA
Nipponbare	PRJEB73710	A pangenome reference of wild and cultivated rice	PRJEB73710_Nipponbare_WGS	Nipponbare WGS	genome	PRJEB73710		https://www.ebi.ac.uk/ena/browser/view/PRJEB73710	ENA study=ERP158450; library_strategy=WGS; runs=1; experiments=1; biosamples=1	1	1	ERP158450	1	ERR13336064	ERX12707030	ENA
W0103	PRJEB73710	A pangenome reference of wild and cultivated rice	PRJEB73710_W0103_HIC	W0103 Hi-C	hic	PRJEB73710		https://www.ebi.ac.uk/ena/browser/view/PRJEB73710	ENA study=ERP158450; library_strategy=Hi-C; runs=1; experiments=1; biosamples=1	1	1	ERP158450	1	ERR13765506	ERX13166678	ENA
W0103	PRJEB73710	A pangenome reference of wild and cultivated rice	PRJEB73710_W0103_RNASEQ	W0103 RNA-Seq	transcriptome	PRJEB73710		https://www.ebi.ac.uk/ena/browser/view/PRJEB73710	ENA study=ERP158450; library_strategy=RNA-Seq; runs=4; experiments=4; biosamples=1	4	4	ERP158450	1	ERR13336208;ERR13336331;ERR13336470;ERR13336619	ERX12707174;ERX12707297;ERX12707436;ERX12707585	ENA
W0103	PRJEB73710	A pangenome reference of wild and cultivated rice	PRJEB73710_W0103_WGS	W0103 WGS	genome	PRJEB73710		https://www.ebi.ac.uk/ena/browser/view/PRJEB73710	ENA study=ERP158450; library_strategy=WGS; runs=2; experiments=2; biosamples=1	2	2	ERP158450	1	ERR13336068;ERR13765362	ERX12707034;ERX13166534	ENA
W0107	PRJEB73710	A pangenome reference of wild and cultivated rice	PRJEB73710_W0107_HIC	W0107 Hi-C	hic	PRJEB73710		https://www.ebi.ac.uk/ena/browser/view/PRJEB73710	ENA study=ERP158450; library_strategy=Hi-C; runs=1; experiments=1; biosamples=1	1	1	ERP158450	1	ERR13765507	ERX13166679	ENA
W0107	PRJEB73710	A pangenome reference of wild and cultivated rice	PRJEB73710_W0107_RNASEQ	W0107 RNA-Seq	transcriptome	PRJEB73710		https://www.ebi.ac.uk/ena/browser/view/PRJEB73710	ENA study=ERP158450; library_strategy=RNA-Seq; runs=4; experiments=4; biosamples=1	4	4	ERP158450	1	ERR13336209;ERR13336332;ERR13336471;ERR13336620	ERX12707175;ERX12707298;ERX12707437;ERX12707586	ENA
W0107	PRJEB73710	A pangenome reference of wild and cultivated rice	PRJEB73710_W0107_WGS	W0107 WGS	genome	PRJEB73710		https://www.ebi.ac.uk/ena/browser/view/PRJEB73710	ENA study=ERP158450; library_strategy=WGS; runs=2; experiments=2; biosamples=1	2	2	ERP158450	1	ERR13336069;ERR13765363	ERX12707035;ERX13166535	ENA
W0108	PRJEB73710	A pangenome reference of wild and cultivated rice	PRJEB73710_W0108_RNASEQ	W0108 RNA-Seq	transcriptome	PRJEB73710		https://www.ebi.ac.uk/ena/browser/view/PRJEB73710	ENA study=ERP158450; library_strategy=RNA-Seq; runs=4; experiments=4; biosamples=1	4	4	ERP158450	1	ERR13336210;ERR13336333;ERR13336472;ERR13336621	ERX12707176;ERX12707299;ERX12707438;ERX12707587	ENA
W0108	PRJEB73710	A pangenome reference of wild and cultivated rice	PRJEB73710_W0108_WGS	W0108 WGS	genome	PRJEB73710		https://www.ebi.ac.uk/ena/browser/view/PRJEB73710	ENA study=ERP158450; library_strategy=WGS; runs=2; experiments=2; biosamples=1	2	2	ERP158450	1	ERR13336070;ERR13765364	ERX12707036;ERX13166536	ENA
