id	accession	species_id	species_code	sub_population	country	region	longitude	latitude	description
87	02428			GJ	China	East_Asia	118.76	32.06	
122	117425			cB			78.96	20.59	
120	117534			cA			121.77	12.88	
221	117534_N22_18ng			cA					
126	125619			XI			78.96	20.59	
127	125827			XI			104.2	35.86	
128	127518			XI			100.99	15.87	
129	127564			XI			113.92	-0.79	
121	127652			cA			90.36	23.69	
130	127742			XI			78.96	20.59	
123	128077			GJ			113.92	-0.79	
211	13-65			GJ					
124	132278			GJ			102.5	19.86	
131	132424			XI			90.36	23.69	
142	17S			XI			112.98	28.11	
209	18WR-118			GJ					
212	18XHB-49			cA					
220	18XHB-57			XI					
214	18XHB-83			XI					
143	201B			XI			112.98	28.11	
233	2037(Rajahamsal)			XI					
144	33S			XI			112.98	28.11	
61	3R11			XI			100.99	15.87	
62	3R17			XI			101.98	4.21	
50	3R25			GJ			101.98	4.21	
51	3R30			GJ			12.57	41.87	
52	3R34			GJ			102.5	19.86	
145	66S			XI			112.98	28.11	
227	80050YR72136-43			GJ					
228	80A97YR303-304-1-3			GJ					
234	80B			XI					
146	923			XI			112.98	28.11	
452	9311_21cell			XI					
453	9311_22cr			XI					
161	A123			GJ					
229	Aerjituo			GJ					
235	Aihechi			XI					
236	Aijiaonante			XI					
29	Aikoku			GJ			138.25	36.2	
230	Ailuyu			GJ					
237	Aimakang			XI					
238	Aituogu 151			XI					
239	Aizizhan			XI					
30	Akita			GJ			138.25	36.2	
231	Albania Rice			GJ					
232	American Huangkedao			GJ					
46	AUS449			cA			90.36	23.69	
125	Azucena			GJ	Philippines	Southeast_Asia	121.77	12.88	
240	Baigedao			GJ					
241	Baikehanhe			XI					
140	Balilla			GJ					
242	Baoxie -7B			XI					
243	Baoxuan 21			XI					
86	Basmati1			cB	Pakistan	South_Asia	69.35	30.38	
84	Basmati334			cB			69.35	30.38	
244	Bawangbian 1			XI					
245	Baxiang			XI					
246	Biwusheng			XI					
247	BRC 25-146-2-1			XI					
248	Buleida A-75			XI					
249	BW 293-2			XI					
250	C 894-21			XI					
63	C62S			XI			113.27	23.13	
47	C7			cA			104.08	30.65	
162	CarolinaGoldSelect			GJ					
95	CG14			O.glaberrima					
251	CHANH 148			XI					
252	Chaoyangyihao B			XI					
253	Chengduai 3			XI					
254	Chengnongshuijing			XI					
255	Chenwan 3			XI					
256	Chimao			GJ					
257	CISOKAN			XI					
64	CJS			XI			114.31	30.59	
96	CN1			XI	China	East_Asia	104.08	30.65	
258	CO 22			XI					
259	Cungunuo			GJ					
260	Cunsanli			GJ					
261	CW01			WILD	China	East_Asia			
262	CW02			WILD	China	East_Asia			
263	CW03			-	Cambodia	Southeast_Asia			
264	CW05			WILD	Brunei	Southeast_Asia			
265	CW06			-	Burma	Southeast_Asia			
266	CW07			WILD	Nepal	South_Asia			
267	CW08			WILD	Phillipines	Southeast_Asia			
268	CW09			WILD	Sri lanka	South_Asia			
269	CW10			WILD	Thailand	Southeast_Asia			
270	CW11			WILD	Bangladesh	South_Asia			
271	CW12			WILD	China	East_Asia			
272	CW13			WILD	China	East_Asia			
273	CW14			WILD	China	East_Asia			
274	CW15			WILD	Laos	Southeast_Asia			
275	CW16			WILD	China	East_Asia			
276	CW17			WILD	India	South_Asia			
277	CW18			WILD	China	East_Asia			
278	CW19			WILD	China	East_Asia			
279	CW21			WILD	China	East_Asia			
280	CW22			WILD	China	East_Asia			
281	CW23			WILD	China	East_Asia			
282	CW31			WILD	China	East_Asia			
