sample_code	sample_name	species_code	accession	tissue	treatment	replicate	data_type	description	experiment_accession	biosample_accession	run_count	run_accessions	ena_study	instrument_platform	instrument_model
ERX12707172	Nipponbare_fringe	ORYZA_SATIVA	Nipponbare	fringe			RNA-Seq	scientific_name=Oryza sativa; BioSample=SAMEA115396723; ENA_sample=ERS18417304; Experiment=ERX12707172; Run=ERR13336206; source=ENA PRJEB73710	ERX12707172	SAMEA115396723	1	ERR13336206	ERP158450	ILLUMINA	Illumina HiSeq 4000
ERX12707294	Nipponbare_seedling	ORYZA_SATIVA	Nipponbare	seedling			RNA-Seq	scientific_name=Oryza sativa; BioSample=SAMEA115396723; ENA_sample=ERS18417304; Experiment=ERX12707294; Run=ERR13336328; source=ENA PRJEB73710	ERX12707294	SAMEA115396723	1	ERR13336328	ERP158450	ILLUMINA	Illumina HiSeq 4000
ERX12707431	Nipponbare_leaf	ORYZA_SATIVA	Nipponbare	leaf			RNA-Seq	scientific_name=Oryza sativa; BioSample=SAMEA115396723; ENA_sample=ERS18417304; Experiment=ERX12707431; Run=ERR13336465; source=ENA PRJEB73710	ERX12707431	SAMEA115396723	1	ERR13336465	ERP158450	ILLUMINA	Illumina HiSeq 4000
ERX12707580	Nipponbare_root	ORYZA_SATIVA	Nipponbare	root			RNA-Seq	scientific_name=Oryza sativa; BioSample=SAMEA115396723; ENA_sample=ERS18417304; Experiment=ERX12707580; Run=ERR13336614; source=ENA PRJEB73710	ERX12707580	SAMEA115396723	1	ERR13336614	ERP158450	ILLUMINA	Illumina HiSeq 4000
ERX12707174	W0103_fringe	ORYZA_RUFIPOGON	W0103	fringe			RNA-Seq	scientific_name=Oryza rufipogon; BioSample=SAMEA115396724; ENA_sample=ERS18417305; Experiment=ERX12707174; Run=ERR13336208; source=ENA PRJEB73710	ERX12707174	SAMEA115396724	1	ERR13336208	ERP158450	ILLUMINA	Illumina HiSeq 4000
ERX12707297	W0103_seedling	ORYZA_RUFIPOGON	W0103	seedling			RNA-Seq	scientific_name=Oryza rufipogon; BioSample=SAMEA115396724; ENA_sample=ERS18417305; Experiment=ERX12707297; Run=ERR13336331; source=ENA PRJEB73710	ERX12707297	SAMEA115396724	1	ERR13336331	ERP158450	ILLUMINA	Illumina HiSeq 4000
ERX12707436	W0103_leaf	ORYZA_RUFIPOGON	W0103	leaf			RNA-Seq	scientific_name=Oryza rufipogon; BioSample=SAMEA115396724; ENA_sample=ERS18417305; Experiment=ERX12707436; Run=ERR13336470; source=ENA PRJEB73710	ERX12707436	SAMEA115396724	1	ERR13336470	ERP158450	ILLUMINA	Illumina HiSeq 4000
ERX12707585	W0103_root	ORYZA_RUFIPOGON	W0103	root			RNA-Seq	scientific_name=Oryza rufipogon; BioSample=SAMEA115396724; ENA_sample=ERS18417305; Experiment=ERX12707585; Run=ERR13336619; source=ENA PRJEB73710	ERX12707585	SAMEA115396724	1	ERR13336619	ERP158450	ILLUMINA	Illumina HiSeq 4000
ERX12707175	W0107_fringe	ORYZA_RUFIPOGON	W0107	fringe			RNA-Seq	scientific_name=Oryza rufipogon; BioSample=SAMEA115396725; ENA_sample=ERS18417306; Experiment=ERX12707175; Run=ERR13336209; source=ENA PRJEB73710	ERX12707175	SAMEA115396725	1	ERR13336209	ERP158450	ILLUMINA	Illumina HiSeq 4000
ERX12707298	W0107_seedling	ORYZA_RUFIPOGON	W0107	seedling			RNA-Seq	scientific_name=Oryza rufipogon; BioSample=SAMEA115396725; ENA_sample=ERS18417306; Experiment=ERX12707298; Run=ERR13336332; source=ENA PRJEB73710	ERX12707298	SAMEA115396725	1	ERR13336332	ERP158450	ILLUMINA	Illumina HiSeq 4000
