assembly_code	accession	assembly_accession	assembly_name	species_code	assembly_level	biosample_accession	assembly_type	assembly_method	sequencing_technology	genome_size	chromosome_count	contig_count	n50	gc_content	reference	source_database	external_project	file_name	file_type	description
ASM_02428	02428		02428 genome assembly	ORYZA_SATIVA														genome.02428.fasta	FASTA	
ASM_117425	117425		117425 genome assembly	ORYZA_SATIVA														genome.117425.fasta	FASTA	
ASM_117534	117534		117534 genome assembly	ORYZA_SATIVA														genome.117534.fasta	FASTA	
ASM_117534_N22_18ng	117534_N22_18ng		117534_N22_18ng genome assembly	ORYZA_SATIVA														genome.117534_N22_18ng.fasta	FASTA	
ASM_125619	125619		125619 genome assembly	ORYZA_SATIVA														genome.125619.fasta	FASTA	
ASM_125827	125827		125827 genome assembly	ORYZA_SATIVA														genome.125827.fasta	FASTA	
ASM_127518	127518		127518 genome assembly	ORYZA_SATIVA														genome.127518.fasta	FASTA	
ASM_127564	127564		127564 genome assembly	ORYZA_SATIVA														genome.127564.fasta	FASTA	
ASM_127652	127652		127652 genome assembly	ORYZA_SATIVA														genome.127652.fasta	FASTA	
ASM_127742	127742		127742 genome assembly	ORYZA_SATIVA														genome.127742.fasta	FASTA	
ASM_128077	128077		128077 genome assembly	ORYZA_SATIVA														genome.128077.fasta	FASTA	
ASM_13-65	13-65		13-65 genome assembly	ORYZA_SATIVA														genome.13-65.fasta	FASTA	
ASM_132278	132278		132278 genome assembly	ORYZA_SATIVA														genome.132278.fasta	FASTA	
ASM_132424	132424		132424 genome assembly	ORYZA_SATIVA														genome.132424.fasta	FASTA	
ASM_17S	17S		17S genome assembly	ORYZA_SATIVA														genome.17S.fasta	FASTA	
ASM_18WR-118	18WR-118		18WR-118 genome assembly	ORYZA_SATIVA														genome.18WR-118.fasta	FASTA	
ASM_18XHB-49	18XHB-49		18XHB-49 genome assembly	ORYZA_SATIVA														genome.18XHB-49.fasta	FASTA	
ASM_18XHB-57	18XHB-57		18XHB-57 genome assembly	ORYZA_SATIVA														genome.18XHB-57.fasta	FASTA	
ASM_18XHB-83	18XHB-83		18XHB-83 genome assembly	ORYZA_SATIVA														genome.18XHB-83.fasta	FASTA	
ASM_201B	201B		201B genome assembly	ORYZA_SATIVA														genome.201B.fasta	FASTA	
ASM_2037(Rajahamsal)	2037(Rajahamsal)		2037(Rajahamsal) genome assembly	ORYZA_SATIVA														genome.2037(Rajahamsal).fasta	FASTA	
ASM_33S	33S		33S genome assembly	ORYZA_SATIVA														genome.33S.fasta	FASTA	
ASM_3R11	3R11		3R11 genome assembly	ORYZA_SATIVA														genome.3R11.fasta	FASTA	
ASM_3R17	3R17		3R17 genome assembly	ORYZA_SATIVA														genome.3R17.fasta	FASTA	
ASM_3R25	3R25		3R25 genome assembly	ORYZA_SATIVA														genome.3R25.fasta	FASTA	
ASM_3R30	3R30		3R30 genome assembly	ORYZA_SATIVA														genome.3R30.fasta	FASTA	
ASM_3R34	3R34		3R34 genome assembly	ORYZA_SATIVA														genome.3R34.fasta	FASTA	
ASM_66S	66S		66S genome assembly	ORYZA_SATIVA														genome.66S.fasta	FASTA	
ASM_80050YR72136-43	80050YR72136-43		80050YR72136-43 genome assembly	ORYZA_SATIVA														genome.80050YR72136-43.fasta	FASTA	
ASM_80A97YR303-304-1-3	80A97YR303-304-1-3		80A97YR303-304-1-3 genome assembly	ORYZA_SATIVA														genome.80A97YR303-304-1-3.fasta	FASTA	
ASM_80B	80B		80B genome assembly	ORYZA_SATIVA														genome.80B.fasta	FASTA	
ASM_923	923		923 genome assembly	ORYZA_SATIVA														genome.923.fasta	FASTA	
ASM_9311_21cell	9311_21cell		9311_21cell genome assembly	ORYZA_SATIVA														genome.9311_21cell.fasta	FASTA	
ASM_9311_22cr	9311_22cr		9311_22cr genome assembly	ORYZA_SATIVA														genome.9311_22cr.fasta	FASTA	
ASM_A123	A123		A123 genome assembly	ORYZA_SATIVA														genome.A123.fasta	FASTA	
ASM_Aerjituo	Aerjituo		Aerjituo genome assembly	ORYZA_SATIVA														genome.Aerjituo.fasta	FASTA	
ASM_Aihechi	Aihechi		Aihechi genome assembly	ORYZA_SATIVA														genome.Aihechi.fasta	FASTA	
ASM_Aijiaonante	Aijiaonante		Aijiaonante genome assembly	ORYZA_SATIVA														genome.Aijiaonante.fasta	FASTA	
ASM_Aikoku	Aikoku		Aikoku genome assembly	ORYZA_SATIVA														genome.Aikoku.fasta	FASTA	
ASM_Ailuyu	Ailuyu		Ailuyu genome assembly	ORYZA_SATIVA														genome.Ailuyu.fasta	FASTA	
ASM_Aimakang	Aimakang		Aimakang genome assembly	ORYZA_SATIVA														genome.Aimakang.fasta	FASTA	
ASM_Aituogu 151	Aituogu 151		Aituogu 151 genome assembly	ORYZA_SATIVA														genome.Aituogu 151.fasta	FASTA	
ASM_Aizizhan	Aizizhan		Aizizhan genome assembly	ORYZA_SATIVA														genome.Aizizhan.fasta	FASTA	
ASM_Akita	Akita		Akita genome assembly	ORYZA_SATIVA														genome.Akita.fasta	FASTA	
ASM_Albania Rice	Albania Rice		Albania Rice genome assembly	ORYZA_SATIVA														genome.Albania Rice.fasta	FASTA	
ASM_American Huangkedao	American Huangkedao		American Huangkedao genome assembly	ORYZA_SATIVA														genome.American Huangkedao.fasta	FASTA	
ASM_AUS449	AUS449		AUS449 genome assembly	ORYZA_SATIVA														genome.AUS449.fasta	FASTA	
ASM_Azucena	Azucena		Azucena genome assembly	ORYZA_SATIVA														genome.Azucena.fasta	FASTA	
