file_path	file_role	accession	assembly_code	annotation_code	sample_code	dataset_code	md5
/home/labuser/rdcheng/gd/manual_files/genome.TG70.fasta	genome	TG70	ASM_TG70				
/home/labuser/rdcheng/gd/manual_files/genome.TG80.fasta	genome	TG80	ASM_TG80				
/home/labuser/rdcheng/gd/manual_files/genome.TG81.fasta	genome	TG81	ASM_TG81				
/home/labuser/rdcheng/gd/manual_files/genome.TG90.fasta	genome	TG90	ASM_TG90				
/home/labuser/rdcheng/gd/manual_files/genome.TG9.fasta	genome	TG9	ASM_TG9				
/home/labuser/rdcheng/gd/manual_files/genome.TM.fasta	genome	TM	ASM_TM				
/home/labuser/rdcheng/gd/manual_files/genome.Toyo.fasta	genome	Toyo	ASM_Toyo				
/home/labuser/rdcheng/gd/manual_files/genome.Tumba.fasta	genome	Tumba	ASM_Tumba				
/home/labuser/rdcheng/gd/manual_files/genome.WW8.fasta	genome	WW8	ASM_WW8				
/home/labuser/rdcheng/gd/manual_files/genome.WYJ3.fasta	genome	WYJ3	ASM_WYJ3				
/home/labuser/rdcheng/gd/manual_files/genome.XS134.fasta	genome	XS134	ASM_XS134				
/home/labuser/rdcheng/gd/manual_files/genome.Y3551.fasta	genome	Y3551	ASM_Y3551				
/home/labuser/rdcheng/gd/manual_files/genome.Y58S.fasta	genome	Y58S	ASM_Y58S				
/home/labuser/rdcheng/gd/manual_files/genome.YJSM.fasta	genome	YJSM	ASM_YJSM				
/home/labuser/rdcheng/gd/manual_files/genome.YZX.fasta	genome	YZX	ASM_YZX				
/home/labuser/rdcheng/gd/manual_files/rRNA.P64S.bed	rRNA	P64S	ASM_P64S				
/home/labuser/rdcheng/gd/manual_files/rRNA.R70.bed	rRNA	R70	ASM_R70				
/home/labuser/rdcheng/gd/manual_files/genome.IR64.fasta	genome	IR64	ASM_IR64				
/home/labuser/rdcheng/gd/manual_files/genome.IR8.fasta	genome	IR8	ASM_IR8				
/home/labuser/rdcheng/gd/manual_files/rRNA.NamRoo.bed	rRNA	NamRoo	ASM_NamRoo				
/home/labuser/rdcheng/gd/manual_files/rRNA.Nipponbare.bed	rRNA	Nipponbare	ASM_Nipponbare				
/home/labuser/rdcheng/gd/manual_files/rRNA.ObarRS3.bed	rRNA	ObarRS3	ASM_ObarRS3				
/home/labuser/rdcheng/gd/manual_files/rRNA.OgluRS3.bed	rRNA	OgluRS3	ASM_OgluRS3				
/home/labuser/rdcheng/gd/manual_files/rRNA.OrufRS1.bed	rRNA	OrufRS1	ASM_OrufRS1				
/home/labuser/rdcheng/gd/manual_files/rRNA.R600.bed	rRNA	R600	ASM_R600				
/home/labuser/rdcheng/gd/manual_files/rRNA.TF.bed	rRNA	TF	ASM_TF				
/home/labuser/rdcheng/gd/manual_files/genome.Nipponbare.fasta	genome	Nipponbare	ASM_Nipponbare				
/home/labuser/rdcheng/gd/manual_files/genome.Z9311S.fasta	genome	Z9311S	ASM_Z9311S				
/home/labuser/rdcheng/gd/manual_files/genome.ZH11.fasta	genome	ZH11	ASM_ZH11				
/home/labuser/rdcheng/gd/manual_files/genome.ZS97RS3.fasta	genome	ZS97RS3	ASM_ZS97RS3				
/home/labuser/rdcheng/gd/manual_files/rRNA.02428.bed	rRNA	02428	ASM_02428				
/home/labuser/rdcheng/gd/manual_files/rRNA.117425.bed	rRNA	117425	ASM_117425				
/home/labuser/rdcheng/gd/manual_files/rRNA.117534.bed	rRNA	117534	ASM_117534				
/home/labuser/rdcheng/gd/manual_files/rRNA.125619.bed	rRNA	125619	ASM_125619				
/home/labuser/rdcheng/gd/manual_files/rRNA.125827.bed	rRNA	125827	ASM_125827				
/home/labuser/rdcheng/gd/manual_files/rRNA.127518.bed	rRNA	127518	ASM_127518				
/home/labuser/rdcheng/gd/manual_files/rRNA.127564.bed	rRNA	127564	ASM_127564				
/home/labuser/rdcheng/gd/manual_files/rRNA.127652.bed	rRNA	127652	ASM_127652				
/home/labuser/rdcheng/gd/manual_files/rRNA.127742.bed	rRNA	127742	ASM_127742				
/home/labuser/rdcheng/gd/manual_files/rRNA.128077.bed	rRNA	128077	ASM_128077				
/home/labuser/rdcheng/gd/manual_files/rRNA.132278.bed	rRNA	132278	ASM_132278				
/home/labuser/rdcheng/gd/manual_files/rRNA.132424.bed	rRNA	132424	ASM_132424				
/home/labuser/rdcheng/gd/manual_files/rRNA.17S.bed	rRNA	17S	ASM_17S				
/home/labuser/rdcheng/gd/manual_files/rRNA.201B.bed	rRNA	201B	ASM_201B				
/home/labuser/rdcheng/gd/manual_files/rRNA.33S.bed	rRNA	33S	ASM_33S				
/home/labuser/rdcheng/gd/manual_files/rRNA.3R11.bed	rRNA	3R11	ASM_3R11				
/home/labuser/rdcheng/gd/manual_files/rRNA.3R17.bed	rRNA	3R17	ASM_3R17				
/home/labuser/rdcheng/gd/manual_files/rRNA.3R25.bed	rRNA	3R25	ASM_3R25				
/home/labuser/rdcheng/gd/manual_files/rRNA.3R30.bed	rRNA	3R30	ASM_3R30				
/home/labuser/rdcheng/gd/manual_files/rRNA.3R34.bed	rRNA	3R34	ASM_3R34				
/home/labuser/rdcheng/gd/manual_files/rRNA.66S.bed	rRNA	66S	ASM_66S				
/home/labuser/rdcheng/gd/manual_files/rRNA.923.bed	rRNA	923	ASM_923				
/home/labuser/rdcheng/gd/manual_files/rRNA.Aikoku.bed	rRNA	Aikoku	ASM_Aikoku				
/home/labuser/rdcheng/gd/manual_files/rRNA.Akita.bed	rRNA	Akita	ASM_Akita				
/home/labuser/rdcheng/gd/manual_files/rRNA.AUS449.bed	rRNA	AUS449	ASM_AUS449				
/home/labuser/rdcheng/gd/manual_files/rRNA.Azucena.bed	rRNA	Azucena	ASM_Azucena				
/home/labuser/rdcheng/gd/manual_files/rRNA.Balilla.bed	rRNA	Balilla	ASM_Balilla				
/home/labuser/rdcheng/gd/manual_files/rRNA.Basmati1.bed	rRNA	Basmati1	ASM_Basmati1				
/home/labuser/rdcheng/gd/manual_files/rRNA.Basmati334.bed	rRNA	Basmati334	ASM_Basmati334				
/home/labuser/rdcheng/gd/manual_files/rRNA.C62S.bed	rRNA	C62S	ASM_C62S				
/home/labuser/rdcheng/gd/manual_files/rRNA.C7.bed	rRNA	C7	ASM_C7				
/home/labuser/rdcheng/gd/manual_files/rRNA.CG14.bed	rRNA	CG14	ASM_CG14				
/home/labuser/rdcheng/gd/manual_files/rRNA.CJS.bed	rRNA	CJS	ASM_CJS				
/home/labuser/rdcheng/gd/manual_files/rRNA.CN1.bed	rRNA	CN1	ASM_CN1				
/home/labuser/rdcheng/gd/manual_files/rRNA.D62.bed	rRNA	D62	ASM_D62				
/home/labuser/rdcheng/gd/manual_files/rRNA.DG.bed	rRNA	DG	ASM_DG				
/home/labuser/rdcheng/gd/manual_files/rRNA.DHX2.bed	rRNA	DHX2	ASM_DHX2				
/home/labuser/rdcheng/gd/manual_files/rRNA.DomSufid.bed	rRNA	DomSufid	ASM_DomSufid				
/home/labuser/rdcheng/gd/manual_files/rRNA.DR11.bed	rRNA	DR11	ASM_DR11				
/home/labuser/rdcheng/gd/manual_files/rRNA.DR12.bed	rRNA	DR12	ASM_DR12				
/home/labuser/rdcheng/gd/manual_files/rRNA.DR13.bed	rRNA	DR13	ASM_DR13				
/home/labuser/rdcheng/gd/manual_files/rRNA.DR14.bed	rRNA	DR14	ASM_DR14				
/home/labuser/rdcheng/gd/manual_files/rRNA.DR15.bed	rRNA	DR15	ASM_DR15				
/home/labuser/rdcheng/gd/manual_files/rRNA.DR16.bed	rRNA	DR16	ASM_DR16				
/home/labuser/rdcheng/gd/manual_files/rRNA.DR17.bed	rRNA	DR17	ASM_DR17				
/home/labuser/rdcheng/gd/manual_files/rRNA.DR18.bed	rRNA	DR18	ASM_DR18				
/home/labuser/rdcheng/gd/manual_files/rRNA.DR1.bed	rRNA	DR1	ASM_DR1				
/home/labuser/rdcheng/gd/manual_files/rRNA.DR20.bed	rRNA	DR20	ASM_DR20				
/home/labuser/rdcheng/gd/manual_files/rRNA.DR2.bed	rRNA	DR2	ASM_DR2				
/home/labuser/rdcheng/gd/manual_files/rRNA.DR3.bed	rRNA	DR3	ASM_DR3				
/home/labuser/rdcheng/gd/manual_files/rRNA.DR4.bed	rRNA	DR4	ASM_DR4				
/home/labuser/rdcheng/gd/manual_files/rRNA.DR5.bed	rRNA	DR5	ASM_DR5				
/home/labuser/rdcheng/gd/manual_files/rRNA.DR6.bed	rRNA	DR6	ASM_DR6				
/home/labuser/rdcheng/gd/manual_files/rRNA.DR7.bed	rRNA	DR7	ASM_DR7				
/home/labuser/rdcheng/gd/manual_files/rRNA.DR8.bed	rRNA	DR8	ASM_DR8				
/home/labuser/rdcheng/gd/manual_files/rRNA.DR9.bed	rRNA	DR9	ASM_DR9				
/home/labuser/rdcheng/gd/manual_files/rRNA.Dular.bed	rRNA	Dular	ASM_Dular				
/home/labuser/rdcheng/gd/manual_files/rRNA.FH838.bed	rRNA	FH838	ASM_FH838				
/home/labuser/rdcheng/gd/manual_files/rRNA.FS32.bed	rRNA	FS32	ASM_FS32				
/home/labuser/rdcheng/gd/manual_files/rRNA.G46.bed	rRNA	G46	ASM_G46				
/home/labuser/rdcheng/gd/manual_files/rRNA.G630.bed	rRNA	G630	ASM_G630				
/home/labuser/rdcheng/gd/manual_files/rRNA.G8.bed	rRNA	G8	ASM_G8				
/home/labuser/rdcheng/gd/manual_files/rRNA.Gim.bed	rRNA	Gim	ASM_Gim				
/home/labuser/rdcheng/gd/manual_files/rRNA.GWX30.bed	rRNA	GWX30	ASM_GWX30				
/home/labuser/rdcheng/gd/manual_files/rRNA.HBK.bed	rRNA	HBK	ASM_HBK				
/home/labuser/rdcheng/gd/manual_files/rRNA.HHZ.bed	rRNA	HHZ	ASM_HHZ				
/home/labuser/rdcheng/gd/manual_files/rRNA.HMXRS1.bed	rRNA	HMXRS1	ASM_HMXRS1				
/home/labuser/rdcheng/gd/manual_files/rRNA.HMZ.bed	rRNA	HMZ	ASM_HMZ				
/home/labuser/rdcheng/gd/manual_files/rRNA.HZ.bed	rRNA	HZ	ASM_HZ				
/home/labuser/rdcheng/gd/manual_files/rRNA.II32.bed	rRNA	II32	ASM_II32				
/home/labuser/rdcheng/gd/manual_files/rRNA.IR64.bed	rRNA	IR64	ASM_IR64				
/home/labuser/rdcheng/gd/manual_files/rRNA.IR8.bed	rRNA	IR8	ASM_IR8				
/home/labuser/rdcheng/gd/manual_files/rRNA.J4155.bed	rRNA	J4155	ASM_J4155				
/home/labuser/rdcheng/gd/manual_files/rRNA.J4155S.bed	rRNA	J4155S	ASM_J4155S				
/home/labuser/rdcheng/gd/manual_files/rRNA.JR2031.bed	rRNA	JR2031	ASM_JR2031				
/home/labuser/rdcheng/gd/manual_files/rRNA.Kosh.bed	rRNA	Kosh	ASM_Kosh				
/home/labuser/rdcheng/gd/manual_files/rRNA.KY131.bed	rRNA	KY131	ASM_KY131				
/home/labuser/rdcheng/gd/manual_files/rRNA.LDXZ.bed	rRNA	LDXZ	ASM_LDXZ				
/home/labuser/rdcheng/gd/manual_files/rRNA.Lemont.bed	rRNA	Lemont	ASM_Lemont				
/home/labuser/rdcheng/gd/manual_files/rRNA.LG31.bed	rRNA	LG31	ASM_LG31				
/home/labuser/rdcheng/gd/manual_files/rRNA.LG5.bed	rRNA	LG5	ASM_LG5				
/home/labuser/rdcheng/gd/manual_files/rRNA.LJ.bed	rRNA	LJ	ASM_LJ				
/home/labuser/rdcheng/gd/manual_files/rRNA.LK638S.bed	rRNA	LK638S	ASM_LK638S				
/home/labuser/rdcheng/gd/manual_files/rRNA.LTH.bed	rRNA	LTH	ASM_LTH				
/home/labuser/rdcheng/gd/manual_files/rRNA.MH63RS3.bed	rRNA	MH63RS3	ASM_MH63RS3				
/home/labuser/rdcheng/gd/manual_files/rRNA.Mitak.bed	rRNA	Mitak	ASM_Mitak				
