annotation_code	accession	assembly_code	annotation_name	annotation_version	is_default	species_code	source_database	source_name	external_project	file_name	file_type	description
ANN_02428	02428	ASM_02428	02428 annotation		true	ORYZA_SATIVA				annotation.02428.gff	GFF	
ANN_117425	117425	ASM_117425	117425 annotation		true	ORYZA_SATIVA				annotation.117425.gff	GFF	
ANN_117534	117534	ASM_117534	117534 annotation		true	ORYZA_SATIVA				annotation.117534.gff	GFF	
ANN_117534_N22_18ng	117534_N22_18ng	ASM_117534_N22_18ng	117534_N22_18ng annotation		true	ORYZA_SATIVA				annotation.117534_N22_18ng.gff	GFF	
ANN_125619	125619	ASM_125619	125619 annotation		true	ORYZA_SATIVA				annotation.125619.gff	GFF	
ANN_125827	125827	ASM_125827	125827 annotation		true	ORYZA_SATIVA				annotation.125827.gff	GFF	
ANN_127518	127518	ASM_127518	127518 annotation		true	ORYZA_SATIVA				annotation.127518.gff	GFF	
ANN_127564	127564	ASM_127564	127564 annotation		true	ORYZA_SATIVA				annotation.127564.gff	GFF	
ANN_127652	127652	ASM_127652	127652 annotation		true	ORYZA_SATIVA				annotation.127652.gff	GFF	
ANN_127742	127742	ASM_127742	127742 annotation		true	ORYZA_SATIVA				annotation.127742.gff	GFF	
ANN_128077	128077	ASM_128077	128077 annotation		true	ORYZA_SATIVA				annotation.128077.gff	GFF	
ANN_13-65	13-65	ASM_13-65	13-65 annotation		true	ORYZA_SATIVA				annotation.13-65.gff	GFF	
ANN_132278	132278	ASM_132278	132278 annotation		true	ORYZA_SATIVA				annotation.132278.gff	GFF	
ANN_132424	132424	ASM_132424	132424 annotation		true	ORYZA_SATIVA				annotation.132424.gff	GFF	
ANN_17S	17S	ASM_17S	17S annotation		true	ORYZA_SATIVA				annotation.17S.gff	GFF	
ANN_18WR-118	18WR-118	ASM_18WR-118	18WR-118 annotation		true	ORYZA_SATIVA				annotation.18WR-118.gff	GFF	
ANN_18XHB-49	18XHB-49	ASM_18XHB-49	18XHB-49 annotation		true	ORYZA_SATIVA				annotation.18XHB-49.gff	GFF	
ANN_18XHB-57	18XHB-57	ASM_18XHB-57	18XHB-57 annotation		true	ORYZA_SATIVA				annotation.18XHB-57.gff	GFF	
ANN_18XHB-83	18XHB-83	ASM_18XHB-83	18XHB-83 annotation		true	ORYZA_SATIVA				annotation.18XHB-83.gff	GFF	
ANN_201B	201B	ASM_201B	201B annotation		true	ORYZA_SATIVA				annotation.201B.gff	GFF	
ANN_2037(Rajahamsal)	2037(Rajahamsal)	ASM_2037(Rajahamsal)	2037(Rajahamsal) annotation		true	ORYZA_SATIVA				annotation.2037(Rajahamsal).gff	GFF	
ANN_33S	33S	ASM_33S	33S annotation		true	ORYZA_SATIVA				annotation.33S.gff	GFF	
ANN_3R11	3R11	ASM_3R11	3R11 annotation		true	ORYZA_SATIVA				annotation.3R11.gff	GFF	
ANN_3R17	3R17	ASM_3R17	3R17 annotation		true	ORYZA_SATIVA				annotation.3R17.gff	GFF	
ANN_3R25	3R25	ASM_3R25	3R25 annotation		true	ORYZA_SATIVA				annotation.3R25.gff	GFF	
ANN_3R30	3R30	ASM_3R30	3R30 annotation		true	ORYZA_SATIVA				annotation.3R30.gff	GFF	
ANN_3R34	3R34	ASM_3R34	3R34 annotation		true	ORYZA_SATIVA				annotation.3R34.gff	GFF	
ANN_66S	66S	ASM_66S	66S annotation		true	ORYZA_SATIVA				annotation.66S.gff	GFF	
ANN_80050YR72136-43	80050YR72136-43	ASM_80050YR72136-43	80050YR72136-43 annotation		true	ORYZA_SATIVA				annotation.80050YR72136-43.gff	GFF	
ANN_80A97YR303-304-1-3	80A97YR303-304-1-3	ASM_80A97YR303-304-1-3	80A97YR303-304-1-3 annotation		true	ORYZA_SATIVA				annotation.80A97YR303-304-1-3.gff	GFF	
ANN_80B	80B	ASM_80B	80B annotation		true	ORYZA_SATIVA				annotation.80B.gff	GFF	
ANN_923	923	ASM_923	923 annotation		true	ORYZA_SATIVA				annotation.923.gff	GFF	
ANN_9311_21cell	9311_21cell	ASM_9311_21cell	9311_21cell annotation		true	ORYZA_SATIVA				annotation.9311_21cell.gff	GFF	
ANN_9311_22cr	9311_22cr	ASM_9311_22cr	9311_22cr annotation		true	ORYZA_SATIVA				annotation.9311_22cr.gff	GFF	
ANN_Aerjituo	Aerjituo	ASM_Aerjituo	Aerjituo annotation		true	ORYZA_SATIVA				annotation.Aerjituo.gff	GFF	
ANN_Aihechi	Aihechi	ASM_Aihechi	Aihechi annotation		true	ORYZA_SATIVA				annotation.Aihechi.gff	GFF	
ANN_Aijiaonante	Aijiaonante	ASM_Aijiaonante	Aijiaonante annotation		true	ORYZA_SATIVA				annotation.Aijiaonante.gff	GFF	
ANN_Ailuyu	Ailuyu	ASM_Ailuyu	Ailuyu annotation		true	ORYZA_SATIVA				annotation.Ailuyu.gff	GFF	
ANN_Aimakang	Aimakang	ASM_Aimakang	Aimakang annotation		true	ORYZA_SATIVA				annotation.Aimakang.gff	GFF	
ANN_Aituogu 151	Aituogu 151	ASM_Aituogu 151	Aituogu 151 annotation		true	ORYZA_SATIVA				annotation.Aituogu 151.gff	GFF	
ANN_Aizizhan	Aizizhan	ASM_Aizizhan	Aizizhan annotation		true	ORYZA_SATIVA				annotation.Aizizhan.gff	GFF	
ANN_Albania Rice	Albania Rice	ASM_Albania Rice	Albania Rice annotation		true	ORYZA_SATIVA				annotation.Albania Rice.gff	GFF	
ANN_American Huangkedao	American Huangkedao	ASM_American Huangkedao	American Huangkedao annotation		true	ORYZA_SATIVA				annotation.American Huangkedao.gff	GFF	
ANN_AUS449	AUS449	ASM_AUS449	AUS449 annotation		true	ORYZA_SATIVA				annotation.AUS449.gff	GFF	
ANN_Azucena	Azucena	ASM_Azucena	Azucena annotation		true	ORYZA_SATIVA				annotation.Azucena.gff	GFF	
ANN_Baigedao	Baigedao	ASM_Baigedao	Baigedao annotation		true	ORYZA_SATIVA				annotation.Baigedao.gff	GFF	
ANN_Baikehanhe	Baikehanhe	ASM_Baikehanhe	Baikehanhe annotation		true	ORYZA_SATIVA				annotation.Baikehanhe.gff	GFF	
ANN_Balilla	Balilla	ASM_Balilla	Balilla annotation		true	ORYZA_SATIVA				annotation.Balilla.gff	GFF	
ANN_Baoxie -7B	Baoxie -7B	ASM_Baoxie -7B	Baoxie -7B annotation		true	ORYZA_SATIVA				annotation.Baoxie -7B.gff	GFF	
ANN_Baoxuan 21	Baoxuan 21	ASM_Baoxuan 21	Baoxuan 21 annotation		true	ORYZA_SATIVA				annotation.Baoxuan 21.gff	GFF	
