source_accession_code	accession_code	sample_code	species_code	raw_data_type	sequencing_platform	file_role	cluster_name	file_path	file_size	md5	check_status	remark
QY22	QY22		ORYZA_SATIVA	HiFi	PacBio Revio	hifi_reads		/share/group/rice/raw/HiFi/QY22/m84104_260327_100529_s1.hifi_reads.bc2066.bam	141733920768	ebe7a2eaf641bb0cedd22b685005fdb5	verified	项目: QY22组装；负责人: 张三；是否压缩: 否
fx1	FX1		ORYZA_SATIVA	HiFi	DNBSEQ	hifi_reads		/share/group/rice/raw/HiFi/QY22/m84104_260327_100529_s1.hifi_reads.bc2066.bam	26843545600	ebe7a2eaf641bb0cedd22b685005fdb5	verified	项目: fx1号注释；负责人: 李四；是否压缩: 是
南梗9108	NG9108		ORYZA_SATIVA	HiFi	PacBio Revio	hifi_reads		/public/home/siyli/NG9108/m84104_240311_131835_s3.hifi_reads.fasta.gz	39728447488		unchecked	项目: NG9108水稻组装；负责人: 李思远；是否压缩: 是
南梗9108（T1）	NG9108	NG9108_T1	ORYZA_SATIVA	WGS	DNBSEQ-T7	raw_reads_R1		/public/home/siyli/NG9108/T1RAWdata/24_15_1CK_R1.fastq.gz		86d76a2c7b62387aed4cd642d1483e73	verified	项目: 基因编辑水稻安全评估流程构建；负责人: 李思远；是否压缩: 是；原始记录数据大小: 23.1GB
南梗9108（T1）	NG9108	NG9108_T1	ORYZA_SATIVA	WGS	DNBSEQ-T7	raw_reads_R2		/public/home/siyli/NG9108/T1RAWdata/24_15_1CK_R2.fastq.gz		105a853166e609713fb60dc604e1de5c	verified	项目: 基因编辑水稻安全评估流程构建；负责人: 李思远；是否压缩: 是；原始记录数据大小: 23.1GB
南梗9108（T1）	NG9108	NG9108_T1	ORYZA_SATIVA	WGS	DNBSEQ-T7	raw_reads_R1		/public/home/siyli/NG9108/T1RAWdata/PTG267_5_1_R1.fastq.gz		fafb7e652b789d01e6c0ab9e00026d0c	verified	项目: 基因编辑水稻安全评估流程构建；负责人: 李思远；是否压缩: 是；原始记录数据大小: 23.1GB
南梗9108（T1）	NG9108	NG9108_T1	ORYZA_SATIVA	WGS	DNBSEQ-T7	raw_reads_R2		/public/home/siyli/NG9108/T1RAWdata/PTG267_5_1_R2.fastq.gz		56a2af3adb82907514a7d96f8e08e9ae	verified	项目: 基因编辑水稻安全评估流程构建；负责人: 李思远；是否压缩: 是；原始记录数据大小: 23.1GB
赣皖籼37	GWX37		ORYZA_SATIVA	HiFi	PacBio Revio	hifi_reads		/share/home/ykxu25/02.Assembly/fuxian1hao_ganwanxian37hao_926/ganwanxian37hao_926/m84104_260327_100529_s1.hifi_reads.bc2066.bam	148477019422	c3a1c3a381eb9f7c5f6636ac71e5f6eb	verified	项目: 赣皖籼37号组装；负责人: 徐杨珂；是否压缩: 是
浮香1	FX1		ORYZA_SATIVA	HiFi	PacBio Revio	hifi_reads		/share/home/ykxu25/02.Assembly/fuxian1hao_ganwanxian37hao_926/fuxiang1hao_fault/m84104_260324_040227_s3.hifi_reads.bc2063.bam	132982924902	66b534dc197425ba33b61e742a30b5cc	verified	项目: 赣皖籼37号组装；负责人: 徐杨珂；是否压缩: 是
赣皖籼38	GWX38		ORYZA_SATIVA	HiFi	PacBio Revio	hifi_reads		/share/home/yyzhu25/zuzhuang/ganwanxian38hao_waiyin7hao_/m84104_260327_100529_s1.hifi_reads.bc2060.bam	163853002342	3feb55dd567c252c492e2b68a3431d53	verified	项目: 赣皖籼38号组装；负责人: 朱祎垚；是否压缩: 是
